TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Page,Link
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63 lacs,2021,"58,622 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-karachi-11194202
Honda Civic 7th Generation (Facelift) 2005 EXi Prosmatec for Sale,PKR 20.5 lacs,2005,"114,000 km",Petrol,1500 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-11197415
Honda City 5th (GM2) Generation 2017 1.3 i-VTEC for Sale,PKR 32.9 lacs,2017,"160,000 km",Petrol,1300 cc,Manual,page 27,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-rawalpindi-11197414
Honda Civic Reborn 2007 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 24.45 lacs,2007,"115,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-islamabad-11197390
Honda Civic  2020 1.5 VTEC Turbo Oriel for Sale,PKR 54 lacs,2020,"65,000 km",Petrol,1500 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-karachi-11160819
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 33.5 lacs,2013,"146,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-multan-11195387
Honda Civic 7th Generation (Facelift) 2005 Base Grade (Hybrid) for Sale,PKR 26 lacs,2005,"12,344 km",Petrol,1300 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-11197379
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 52 lacs,2019,"55,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-11197309
Honda Civic 11th Generation 2024 Oriel for Sale,PKR 83.6 lacs,2024,"3,200 km",Petrol,1500 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2024-for-sale-in-karachi-11158770
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.75 lacs,2020,"67,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-11197371
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 46.65 lacs,2016,"132,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-11189368
Honda Civic  2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 31.75 lacs,2013,"146,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-layyah-11197347
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 45 lacs,2018,"103,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11197333
Honda Civic  1999 VTi 1.6 for Sale,PKR 12.5 lacs,1999,"289,300 km",Petrol,1600 cc,Manual,page 27,https://www.pakwheels.com/used-cars/honda-civic-1999-for-sale-in-karachi-11197343
Toyota Raize  2020 Z for Sale,PKR 58.5 lacs,2020,"62,500 km",Petrol,1000 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-peshawar-11041877
Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 34.5 lacs,2015,"76,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-rahim-yar-khan-11197156
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 47 lacs,2017,"140,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-multan-11197265
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 25.3 lacs,2010,"106,752 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-sargodha-11116874
Honda Civic  2011 VTi Oriel 1.8 i-VTEC for Sale,PKR 29 lacs,2011,"111,100 km",Petrol,1800 cc,Manual,page 27,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-chakwal-11088669
Honda Civic 5th Generation 1994 EX for Sale,PKR 8.95 lacs,1994,"250,000 km",Petrol,1500 cc,Manual,page 27,https://www.pakwheels.com/used-cars/honda-civic-1994-for-sale-in-islamabad-11197220
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 24.8 lacs,2011,"119,563 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-sargodha-11119743
DFSK Glory 500  2021  for Sale,PKR 47 lacs,2021,"75,000 km",Petrol,1500 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/dfsk-glory-500-2021-for-sale-in-islamabad-11197233
Nissan Juke  2012  for Sale,PKR 34 lacs,2012,"500,000 km",Petrol,1300 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/nissan-juke-2012-for-sale-in-swabi-11197218
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 54 lacs,2019,"130,004 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-peshawar-11025934
Honda Civic  2020 1.8 i-VTEC CVT for Sale,PKR 58 lacs,2020,"55,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-multan-11197198
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.5 lacs,2018,"171,000 km",Petrol,1800 cc,Automatic,page 27,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11197192
Honda Civic Rebirth 2013 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 28.5 lacs,2013,"114,512 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-multan-11175982
Honda Civic 7th Generation (Facelift) 2004 VTi 1.6 for Sale,PKR 28.5 lacs,2004,"124,000 km",Petrol,1600 cc,Manual,page 28,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-islamabad-11194158
Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 24 lacs,2009,"259,893 km",Petrol,1800 cc,Manual,page 28,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-islamabad-11157370
Honda Civic 11th Generation 2026 RS for Sale,Call,2026,5 km,Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2026-for-sale-in-islamabad-11193645
Honda Civic 11th Generation 2026 RS for Sale,Call,2026,25 km,Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2026-for-sale-in-islamabad-11094996
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63.5 lacs,2021,"60,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-11021172
Honda Civic 11th Generation 2024 RS for Sale,PKR 89.25 lacs,2024,"35,000 km",Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2024-for-sale-in-islamabad-11193876
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 53.4 lacs,2019,"67,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-11179382
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 50.45 lacs,2018,"118,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11194010
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 64 lacs,2019,"27,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-lahore-11193995
Honda Civic  2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 29.5 lacs,2011,"100,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-islamabad-11193901
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 58.6 lacs,2020,"428,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-11192577
Daihatsu Move  2021 L for Sale,PKR 34.5 lacs,2021,"52,000 km",Petrol,660 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/daihatsu-move-2021-for-sale-in-lahore-11118772
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 48.25 lacs,2018,"102,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11141221
Honda Civic 11th Generation 2023 RS for Sale,PKR 90.5 lacs,2023,"40,000 km",Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-peshawar-11086827
Honda Civic  2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 28.5 lacs,2011,"115,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-rawalpindi-11197165
Honda Civic  2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 35.75 lacs,2014,"175,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-lahore-11088522
Honda Civic  2017 1.8 i-VTEC CVT for Sale,PKR 41 lacs,2017,"133,160 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-11197162
Honda Civic 7th Generation (Facelift) 2005 EXi for Sale,PKR 16.7 lacs,2005,"296,000 km",Petrol,1500 cc,Manual,page 28,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-11143629
Honda Civic 7th Generation (Facelift) 2004 EXi for Sale,PKR 16 lacs,2004,"238,000 km",Petrol,1500 cc,Manual,page 28,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-lahore-11197142
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 54.5 lacs,2019,"69,300 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-11197102
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.5 lacs,2017,"58,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-11197100
Honda Civic Reborn 2007 MXB (Hybrid) for Sale,PKR 24.75 lacs,2007,"78,000 km",Hybrid,1300 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-karachi-11139833
Honda Civic 7th Generation (Facelift) 2005 EXi for Sale,PKR 16.3 lacs,2005,"242,151 km",Petrol,1500 cc,Manual,page 28,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-faisalabad-11197057
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63 lacs,2021,"57,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-11196818
Honda Civic  2019 1.5 RS Turbo for Sale,PKR 62 lacs,2019,"106,500 km",Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-islamabad-11197019
Honda Civic  2010 VTi Oriel 1.8 i-VTEC for Sale,PKR 23.5 lacs,2010,"154,000 km",Petrol,1800 cc,Manual,page 28,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-lahore-11196990
Honda City  2026 1.2L CVT for Sale,PKR 51 lacs,2026,150 km,Petrol,1200 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-city-2026-for-sale-in-gujranwala-11196971
Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 39.99 lacs,2015,"105,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-islamabad-11174885
Honda Civic Reborn 2008 MXST (Hybrid) for Sale,PKR 32.5 lacs,2008,"188,000 km",Hybrid,1300 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-rawalpindi-11196371
Hyundai Tucson  2022 AWD A/T Ultimate for Sale,PKR 72.9 lacs,2022,"33,000 km",Petrol,2000 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-karachi-11158043
Honda Civic  2013 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 33 lacs,2013,"155,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-11196937
Honda Civic  2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 27.75 lacs,2011,"183,000 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-faisalabad-11196925
Honda Civic  2022 Standard for Sale,PKR 75 lacs,2022,"24,500 km",Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-islamabad-11196919
Honda Civic 11th Generation 2024 Oriel for Sale,PKR 81.9 lacs,2024,"47,000 km",Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2024-for-sale-in-lahore-11179754
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,PKR 49.5 lacs,2016,"125,441 km",Petrol,1500 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-peshawar-11193126
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 49.5 lacs,2017,"88,216 km",Petrol,1800 cc,Automatic,page 28,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11196869
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 53 lacs,2018,"86,883 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-karachi-11000347
Honda Civic  2025 RS for Sale,PKR 1.01 crore,2025,"11,298 km",Petrol,1500 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-peshawar-11003321
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 54.5 lacs,2020,"70,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-karachi-11193892
Honda Civic Reborn 2007 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 22.5 lacs,2007,"110,354 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-karachi-11140064
Honda Civic  2022 1.5 RS Turbo for Sale,PKR 82.95 lacs,2022,"88,000 km",Petrol,1500 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-rawalpindi-11193694
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 54.25 lacs,2018,"71,200 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-10902669
Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 36 lacs,2014,"132,892 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-lahore-11103408
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 55 lacs,2017,"92,814 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-11100751
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63 lacs,2021,"75,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-11140070
Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 50.5 lacs,2016,"92,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-11193576
Honda Civic  1999 VTi 1.6 for Sale,PKR 20 lacs,1999,"222,222 km",Petrol,1600 cc,Manual,page 29,https://www.pakwheels.com/used-cars/honda-civic-1999-for-sale-in-lahore-11191122
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63 lacs,2021,"50,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-karachi-11181763
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 47.25 lacs,2017,"123,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-faisalabad-11196609
Honda Civic Reborn 2012 VTi Oriel 1.8 i-VTEC for Sale,PKR 28.95 lacs,2012,"97,500 km",Petrol,1800 cc,Manual,page 29,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-gujranwala-11195935
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 34 lacs,2013,"147,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-karachi-11196776
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 63.75 lacs,2020,"81,682 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-rawalpindi-11104317
Honda Civic  2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 30.75 lacs,2011,"102,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-lahore-11139259
Honda Civic Reborn 2009 VTi 1.8 i-VTEC for Sale,PKR 20 lacs,2009,"95,956 km",Petrol,1800 cc,Manual,page 29,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-karachi-11080831
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 47 lacs,2017,"151,928 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-11196582
Audi A3  2017 1.2 TFSI Standard for Sale,PKR 76 lacs,2017,"73,210 km",Petrol,1200 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/audi-a3-2017-for-sale-in-peshawar-11196727
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,PKR 46.5 lacs,2016,"80,000 km",Petrol,1500 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-peshawar-11195948
Jeep CJ 5  1979  for Sale,PKR 25 lacs,1979,"400,000 km",Petrol,2000 cc,Manual,page 29,https://www.pakwheels.com/used-cars/jeep-cj-5-1979-for-sale-in-rawalpindi-11107198
Honda Civic 11th Generation 2022 Standard for Sale,PKR 71.5 lacs,2022,"58,778 km",Petrol,1500 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-rawalpindi-11194254
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 31 lacs,2010,"168,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-gujranwala-11195662
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 48.5 lacs,2018,"129,997 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-karachi-11186000
Honda Civic  1998  for Sale,PKR 10.5 lacs,1998,"166,245 km",Petrol,1500 cc,Manual,page 29,https://www.pakwheels.com/used-cars/honda-civic-1998-for-sale-in-karachi-11196697
Honda Civic Reborn 2011 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 26.9 lacs,2011,"210,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-islamabad-11163309
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 53.5 lacs,2018,"100,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-gujrat-11187292
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.5 lacs,2018,"140,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11142658
Honda Civic  2000 VTi Oriel 1.6 for Sale,PKR 12.5 lacs,2000,"120,000 km",Petrol,1600 cc,Manual,page 29,https://www.pakwheels.com/used-cars/honda-civic-2000-for-sale-in-lahore-11195065
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 49 lacs,2017,"86,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-rahim-yar-khan-11195328
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 51 lacs,2018,"78,142 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-karachi-11152654
Honda Civic 11th Generation 2024 RS for Sale,PKR 90 lacs,2024,"22,000 km",Petrol,1500 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2024-for-sale-in-hyderabad-11116229
Honda Civic  2022 Oriel for Sale,PKR 76.5 lacs,2022,"61,000 km",Petrol,1500 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-islamabad-10716584
Honda Civic Reborn 2008 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 31.25 lacs,2008,"105,000 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-islamabad-11139272
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 60 lacs,2019,"85,807 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-rawalpindi-11154906
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 41 lacs,2016,"150,781 km",Petrol,1800 cc,Automatic,page 29,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-11154085
Honda Civic  2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 35 lacs,2015,"97,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-karachi-11126711
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 56 lacs,2020,"126,230 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-multan-11179747
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 38 lacs,2016,"150,050 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-islamabad-11193355
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 27.5 lacs,2010,"120,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-lahore-11108764
Honda Civic  2026 RS for Sale,PKR 1.04 crore,2026,25 km,Petrol,1500 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2026-for-sale-in-islamabad-11071921
Honda Civic  2022 Oriel for Sale,PKR 76 lacs,2022,"48,000 km",Petrol,1500 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-islamabad-11026771
Honda Civic 11th Generation 2025 Oriel for Sale,PKR 88 lacs,2025,"6,173 km",Petrol,1500 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-lahore-11156509
Honda Civic  2019 1.8 i-VTEC CVT for Sale,PKR 56.75 lacs,2019,"117,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-renala-khurd-11169192
Honda Civic  2022 RS for Sale,PKR 81.5 lacs,2022,"44,000 km",Petrol,1500 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-karachi-11189943
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 44 lacs,2017,"73,550 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-11193194
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63.5 lacs,2021,"60,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-11023800
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 49.99 lacs,2018,"65,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-karachi-11192782
Honda Civic 11th Generation 2025 Oriel for Sale,PKR 83 lacs,2025,"8,605 km",Petrol,1500 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-multan-11092418
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 58 lacs,2019,"54,996 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-islamabad-10987052
Honda Civic  2009 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 24.7 lacs,2009,"166,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-multan-11046379
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 49.95 lacs,2018,"151,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11196622
Honda Civic  2012 VTi 1.8 i-VTEC for Sale,PKR 24.5 lacs,2012,"180,000 km",Petrol,1800 cc,Manual,page 30,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-11196615
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 62.5 lacs,2021,"45,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-6826760
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 50.75 lacs,2018,"93,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11170448
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 64.5 lacs,2021,"680,000 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-rawalpindi-11108081
Honda Civic 7th Generation (Facelift) 2004 EXi for Sale,PKR 17.5 lacs,2004,"180,000 km",Petrol,1500 cc,Manual,page 30,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-islamabad-11196557
Honda Civic Rebirth 2012 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 27 lacs,2012,"120,486 km",Petrol,1800 cc,Automatic,page 30,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-karachi-11080861
